OBJECTID,NAAM,TYPE,STRAATNAAM,DISTRICT,POSTCODE,CLUSTER,BEHEERDER,SHAPE_Length,SHAPE_Area
26245,VINKENPARK,buurtpark,VAN SCHOONBEKESTRAAT,ANTWERPEN,2018,Cluster Noord,niet SB,345.210104100072,3883.49009919063
26246,ROCKOXPLEIN,buurtpark,ROCKOXPLEIN,ANTWERPEN,2020,Cluster Zuid,SB,204.371312141506,2683.44706732037
26247,GLASGOWSTRAAT,buurtpark,GLASGOWSTRAAT,ANTWERPEN,2030,Cluster Noord,,177.72463156343,1614.1411795343
26248,COLUMBIASTRAAT,buurtpark,COLUMBIASTRAAT,ANTWERPEN,2030,Cluster Noord,,155.657346363017,1415.83975553771
26249,PATER STRACKESTRAAT,buurtpark,PATER STRACKESTRAAT,ANTWERPEN,2030,Cluster Noord,,110.086249415406,732.695240602283
26250,PLUVIERSTRAAT BUURTPARK,buurtpark,PLUVIERSTRAAT,ANTWERPEN,2050,Cluster Zuid,,539.027750941574,11641.9121265337
26251,VLAAMSHOOFDLAAN,buurtpark,VLAAMSHOOFDLAAN,ANTWERPEN,2050,Cluster Zuid,,165.281471935775,1596.79701225386
26252,HANEGRAEFSTRAAT,buurtpark,HANEGRAEFSTRAAT,ANTWERPEN,2050,Cluster Zuid,,162.089144939175,467.047704852941
26253,AUGUST VERMEYLENLAAN,buurtpark,AUGUST VERMEYLENLAAN,ANTWERPEN,2050,Cluster Zuid,,86.1581623368976,419.527527980872
26254,TIJL UILENSPIEGELLAAN,buurtpark,TIJL UILENSPIEGELLAAN,ANTWERPEN,2050,Cluster Zuid,,531.420533902552,4636.78746968886
26255,SLACHTHUISLAAN,buurtpark,SLACHTHUISLAAN,ANTWERPEN,2060,Cluster Noord,,265.180986027469,2127.0308311659
26256,PAUL VEKEMANSLAAN BUURTPARK,buurtpark,PAUL VEKEMANSLAAN,HOBOKEN,2660,Cluster Zuid,SB,375.405329845147,7719.45093116523
26257,DEN BOTANIEK,park,LEOPOLDSTRAAT,ANTWERPEN,2000,Cluster Noord,SB,481.141759608951,9656.37407466483
26258,MUNTSTRAAT,buurtpark,MUNTSTRAAT,ANTWERPEN,2000,Cluster Noord,,24.5860006227703,0.788745607996162
26259,ZUIDERDOKKENPARK,buurtpark,VLAAMSEKAAI,ANTWERPEN,2000,Cluster Noord,,315.570910800471,6425.13188659707
26260,RODEKRUISLAAN,buurtpark,RODEKRUISLAAN,HOBOKEN,2660,Cluster Zuid,,72.1278077222116,338.557138451717
26261,LUCHTVAARTSTRAAT,buurtpark,LUCHTVAARTSTRAAT,BORGERHOUT,2140,Cluster Zuid,,265.762627333717,1932.10988276298
26262,RECHTESTRAAT,buurtpark,RECHTESTRAAT,BORGERHOUT,2140,Cluster Zuid,,62.1384464176468,245.855195660893
26263,MEERLENHOF,buurtpark,MEERLENHOFLAAN,HOBOKEN,2660,Cluster Zuid,,623.670988244621,14858.3027849209
26264,VAN LEENTSTRAAT,buurtpark,VAN LEENTSTRAAT,BORGERHOUT,2140,Cluster Zuid,,320.189555433332,1884.14842114781
26265,GRAVENHOF,park,LOUISALEI,HOBOKEN,2660,Cluster Zuid,SB,481.68881041961,13144.4413083186
26266,BEGIJNHOF,buurtpark,RODESTRAAT,ANTWERPEN,2000,Cluster Noord,SB,444.845958461922,4248.76732945872
26267,VAN CAUWELAERTPARK,park,AUGUST VAN CAUWELAERTLAAN,ANTWERPEN,2050,Cluster Zuid,SB,748.190702861772,26149.671857886
26268,VINKENIER,buurtpark,GRENSSTRAAT,DEURNE,2100,Cluster Zuid,niet SB,351.48305300138,3938.15040780878
26269,VELTWIJCKPARK,park,VELTWIJCKLAAN,EKEREN,2180,Cluster Noord,SB,1538.12654022346,96076.4590967366
26270,SCHOONSELHOFLEI BUURTPARK,buurtpark,SCHOONSELHOFLEI,HOBOKEN,2660,Cluster Zuid,SB,343.889142822383,6213.92579793318
26271,BOUVAERTLAAN,buurtpark,BOUVAERTLAAN,ANTWERPEN,2050,Cluster Zuid,,361.006755835838,2061.68948761076
26272,AERNOUT EN WILLEMLAAN,buurtpark,AERNOUT EN WILLEMLAAN,ANTWERPEN,2050,Cluster Zuid,,361.584048608588,2031.45117767781
26273,LODEWIJK VAN VELTHEMLAAN,buurtpark,LODEWIJK VAN VELTHEMLAAN,ANTWERPEN,2050,Cluster Zuid,,136.351261067863,958.955499078275
26274,ESMOREITPARKJE,buurtpark,ESMOREITLAAN,ANTWERPEN,2050,Cluster Zuid,niet SB,2599.94261533357,180721.07600933
26275,WEERSTANDLAAN SPEELZONE EN HONDENLOOPZONE,buurtpark,WEERSTANDLAAN,BORGERHOUT,2140,Cluster Zuid,,372.734541579877,7041.31739740292
26276,DOMINICANENSTRAAT,buurtpark,DOMINICANENSTRAAT,BERENDRECHT-ZANDVLIET-LILLO,2040,Cluster Noord,,99.878615702689,531.58935577673
26277,POOTERSSTRAAT,buurtpark,POOTERSSTRAAT,BERENDRECHT-ZANDVLIET-LILLO,2040,Cluster Noord,,141.945354207219,708.558318293879
26278,STRIJDHOFLAAN BUURTPARK,buurtpark,STRIJDHOFLAAN,BERCHEM,2600,Cluster Zuid,SB,154.384525531944,1427.97220986959
26279,KAPELSTRAAT,buurtpark,KAPELSTRAAT,HOBOKEN,2660,Cluster Zuid,,331.692977533014,3005.57326885482
26280,STADSPARK,park,QUINTEN MATSIJSLEI,ANTWERPEN,2018,Cluster Noord,SB,1510.36384853768,115234.391021971
26281,NOORDSCHIPPERSDOK,buurtpark,NOORDSCHIPPERSDOK,ANTWERPEN,2060,Cluster Noord,,607.994399502031,12206.8122309755
26282,LANGE LOBROEKSTRAAT PLANTSOEN,buurtpark,LANGE LOBROEKSTRAAT,ANTWERPEN,2060,Cluster Noord,,68.6270047305905,248.528860075224
26283,CANADALAAN,buurtpark,CANADALAAN,ANTWERPEN,2030,Cluster Noord,,31.7556279435913,34.2257789889688
26284,CANADALAAN,buurtpark,CANADALAAN,ANTWERPEN,2030,Cluster Noord,,1589.29413299784,14517.7386139087
26285,LODEWIJK DE VOCHTSTRAAT,buurtpark,LODEWIJK DE VOCHTSTRAAT,ANTWERPEN,2030,Cluster Noord,,684.848672740269,5961.36587080923
26286,JACOB KARSMANSTRAAT,buurtpark,JACOB KARSMANSTRAAT,ANTWERPEN,2030,Cluster Noord,,1454.15587493494,10719.8430270255
26287,STATIESTRAAT,buurtpark,STATIESTRAAT,EKEREN,2180,Cluster Noord,SB,264.023096366736,1905.02853369652
26288,KROKUSSTRAAT,buurtpark,KROKUSSTRAAT,MERKSEM,2170,Cluster Noord,,221.026191234649,1193.12422924561
26289,NARCISSTRAAT,buurtpark,NARCISSTRAAT,MERKSEM,2170,Cluster Noord,,184.51279295591,828.299978072978
26290,BUURTPARK DUVELSHOEK,buurtpark,DUVELSHOEK,MERKSEM,2170,Cluster Noord,,193.831247981306,1875.74947558906
26291,MARKIEZENHOF,buurtpark,MARKIEZENHOF,MERKSEM,2170,Cluster Noord,,191.106684193703,2035.91843299506
26292,BISSCHOPPENHOF,park,SUZANNE SPANHOVENSTRAAT,DEURNE,2100,Cluster Noord,SB,1132.87016843026,31957.3220424284
26293,BIESHEUVELLAAN,buurtpark,BIESHEUVELLAAN,EKEREN,2180,Cluster Noord,,165.486734726947,879.258696838533
26294,REIZIGERSSTRAAT PLANTSOEN,buurtpark,REIZIGERSSTRAAT,BORGERHOUT,2140,Cluster Zuid,,218.024344317469,1353.19011399782
26295,TE BOELAARPARK,park,KAREL DE PRETERLEI,BORGERHOUT,2140,Cluster Zuid,SB,2174.21410605707,151951.469466764
26296,WAASDONK,buurtpark,WAASDONK,DEURNE,2100,Cluster Zuid,,171.371569809647,1122.0381135704
26297,HAROLD ROSHERSTRAAT,buurtpark,HAROLD ROSHERSTRAAT,HOBOKEN,2660,Cluster Zuid,,673.050881892308,13259.355035722
26298,FORT 7,park,LEGERSTRAAT,WILRIJK,2610,Cluster Zuid,SB,3617.64687274159,143669.999123439
26299,HOF TER BEKE,park,TERBEKEHOFDREEF,WILRIJK,2610,Cluster Zuid,SB,1239.71510374923,88182.5223688835
26300,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,HOBOKEN,2660,Cluster Zuid,SB + natuurpunt,11.2891135390329,0.641696581063354
26301,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,HOBOKEN,2660,Cluster Zuid,SB + natuurpunt,4.03121485424731,0.120926238744462
26302,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,HOBOKEN,2660,Cluster Zuid,SB + natuurpunt,2.06023092855526,0.0234185094753632
26303,FERRE GRIGNARDPLANTSOEN,buurtpark,FERRE GRIGNARDPLANTSOEN,WILRIJK,2610,Cluster Zuid,SB,139.387583143203,1232.29030249475
26304,KORTESTRAAT BUURTPARK,buurtpark,KORTESTRAAT,WILRIJK,2610,Cluster Zuid,SB,244.594117173871,2478.39613004596
26305,STEYTELINCKPARK,park,SINT-BAVOSTRAAT,WILRIJK,2610,Cluster Zuid,SB,102.75988194005,507.778682595307
26306,STEYTELINCKPARK,park,SINT-BAVOSTRAAT,WILRIJK,2610,Cluster Zuid,SB,1242.92002930604,68331.1538596293
26307,STEYTELINCKPARK,park,SINT-BAVOSTRAAT,WILRIJK,2610,Cluster Zuid,SB,179.844748249968,1946.5003313719
26308,KLEINESTEENWEG,buurtpark,KLEINESTEENWEG,WILRIJK,2610,Cluster Zuid,,26.1393333354561,1.15535694582086
26309,VALAARPARK,park,HOF VAN MOLS,WILRIJK,2610,Cluster Zuid,SB,76.7769839979048,79.3483302857858
26310,DRIE BUNDERPARK,buurtpark,RENDIERSTRAAT,WILRIJK,2610,Cluster Zuid,SB,385.435554943038,5367.85922015385
26311,Speelterrein Romestraat,buurtpark,ROMESTRAAT,HOBOKEN,2660,Cluster Zuid,SB,637.145825466931,5342.65745682493
26312,HOLLEBEEKPARK,buurtpark,COOPERATIELAAN,HOBOKEN,2660,Cluster Zuid,SB,1067.2993041357,24950.4240117386
26313,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,WILRIJK,2610,Cluster Zuid,SB + natuurpunt,972.179239672546,4161.12423769618
26314,HOLLEBEEK,park,LUCAS HENNINCKSTRAAT,HOBOKEN,2660,Cluster Zuid,SB + natuurpunt,386.793680158033,5266.02662264921
26315,GROOT HAGELKRUISPARK,park,OORDERSEWEG,EKEREN,2180,Cluster Noord,SB,1332.82279391447,49999.8939398297
26316,SPEELTERREIN,buurtpark,WIJNGAARDBERG,MERKSEM,2170,Cluster Noord,SB,223.810080168151,2766.43083280292
26317,VILLEGASPARK,park,UITBREIDINGSTRAAT,BERCHEM,2600,Cluster Zuid,SB,630.633645931143,21337.2035457072
26318,SCHELDEWANDELING - SINT-ANNASTRAND,buurtpark,THONETLAAN,ANTWERPEN,2050,Cluster Zuid,SB,5943.59221409389,146712.496198597
26319,HOF DE BIST,park,VELTWIJCKLAAN,EKEREN,2180,Cluster Noord,SB,1948.67416833594,190189.786178689
26320,BROYDENBORG,park,MARNEFLAAN,HOBOKEN,2660,Cluster Zuid,SB,652.093439716235,23831.9202991544
26321,HERTOGSVELDEN BUURTPARK,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,76.0004283079662,187.659525421052
26322,NELLO EN PATRASCHEPLEIN,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,265.310294573707,3730.31335663724
26323,STAATSEIGENDOM,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,189.955928242185,319.80489015496
26324,HERTOGSVELDEN BUURTPARK,buurtpark,HERTOGSVELDEN,HOBOKEN,2660,Cluster Zuid,,165.160407803268,1315.98092883074
26325,GROENE VINGER POLDERSTAD,buurtpark,GRASPOLDERLAAN,HOBOKEN,2660,Cluster Zuid,SB,925.480404190469,11173.5334696293
26326,GROENE VINGER POLDERSTAD,buurtpark,GRASPOLDERLAAN,HOBOKEN,2660,Cluster Zuid,,719.060068829501,6542.75831276006
26327,GROENE VINGER POLDERSTAD,buurtpark,GRASPOLDERLAAN,HOBOKEN,2660,Cluster Zuid,,347.456485150442,2334.71990861809
26328,STEDELIJK ONDERWIJS ANTWERPEN,buurtpark,VEERRDAMLAAN,HOBOKEN,2660,Cluster Zuid,SB,79.6292291141246,354.209007510301
26329,PAUL VEKEMANSLAAN BUURTPARK,buurtpark,PAUL VEKEMANSLAAN,HOBOKEN,2660,Cluster Zuid,,323.074189186008,5416.78886998335
26330,HOF VAN TICHELEN BUURTPARK,buurtpark,HOF VAN TICHELEN,ANTWERPEN,2020,Cluster Zuid,SB,485.208067061607,6863.39824182829
26331,DEN BRANDT,park,BEUKENLAAN,ANTWERPEN,2020,Cluster Zuid,SB,213.167442363401,233.282780976015
26332,DEN BRANDT,park,BEUKENLAAN,ANTWERPEN,2020,Cluster Zuid,SB,615.126541584671,483.395102770589
26333,LANGE BREMSTRAAT,buurtpark,LEIEBOS,MERKSEM,2170,Cluster Noord,SB,584.146498734117,8120.01638290806
26334,MASTVEST,park,ERIC SASSELAAN,ANTWERPEN,2020,Cluster Zuid,SB,282.870545017492,691.149849146719
26335,BOEKENBERGPARK,park,MENEGEMLEI,DEURNE,2100,Cluster Zuid,SB,1676.53858614879,100300.545539695
26336,PARK GROOT SCHIJN,park,RUGGEVELDLAAN,DEURNE,2100,Cluster Zuid,,1555.5696479582,49012.7901623277
26337,FREDEGANDUS BEGRAAFPARK,park,LAKBORSLEI,DEURNE,2100,Cluster Noord,SB,1371.08347171709,53326.7676644542
26338,SCHIJNTJE,park,TURNHOUTSEBAAN,BORGERHOUT,2140,Cluster Zuid,niet SB,471.854916379261,3869.49402800269
26339,SCHIJNTJE,park,TURNHOUTSEBAAN,BORGERHOUT,2140,Cluster Zuid,niet SB,2976.87734992293,37671.1422376181
26340,'T SCHIJNTJE,park,TURNHOUTSEBAAN,BORGERHOUT,2140,Cluster Zuid,niet SB,2783.50458174703,20524.3159586216
26341,HET SCHIJNTJE,park,TEN EEKHOVELEI,DEURNE,2100,Cluster Noord,SB,81.3725941491315,352.683406366105
26342,HET SCHIJNTJE,park,TEN EEKHOVELEI,DEURNE,2100,Cluster Noord,SB,205.257803652023,2279.86237155959
